2025-04-03 14:12:05,764 - INFO - System Monitor: Starting system monitoring...
2025-04-03 14:12:05,768 - INFO - CPU: Usage: 11.1%
2025-04-03 14:12:05,768 - INFO - Memory: Usage: 86.8%
2025-04-03 14:12:06,373 - INFO - Software: PID: 5868, Name: msedge.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,378 - INFO - Software: PID: 5904, Name: WMIRegistrationService.exe, Username: None
2025-04-03 14:12:06,379 - INFO - Software: PID: 5912, Name: python.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,380 - INFO - Software: PID: 6072, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,380 - INFO - Software: PID: 6140, Name: py.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,386 - INFO - Software: PID: 6236, Name: svchost.exe, Username: None
2025-04-03 14:12:06,387 - INFO - Software: PID: 6416, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,389 - INFO - Software: PID: 6432, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,391 - INFO - Software: PID: 6612, Name: python.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,392 - INFO - Software: PID: 6748, Name: chrome.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,396 - INFO - Software: PID: 6956, Name: svchost.exe, Username: None
2025-04-03 14:12:06,397 - INFO - Software: PID: 7100, Name: AsusOptimizationStartupTask.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,398 - INFO - Software: PID: 7124, Name: RuntimeBroker.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,398 - INFO - Software: PID: 7248, Name: powershell.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,398 - INFO - Software: PID: 7264, Name: Discord.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,398 - INFO - Software: PID: 7504, Name: Discord.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,406 - INFO - Software: PID: 7568, Name: svchost.exe, Username: None
2025-04-03 14:12:06,410 - INFO - Software: PID: 7680, Name: svchost.exe, Username: None
2025-04-03 14:12:06,414 - INFO - Software: PID: 7712, Name: MMSSHOST.exe, Username: None
2025-04-03 14:12:06,414 - INFO - Software: PID: 7752, Name: py.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,415 - INFO - Software: PID: 7780, Name: conhost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,415 - INFO - Software: PID: 7792, Name: ipf_helper.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,415 - INFO - Software: PID: 7816, Name: steam.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,415 - INFO - Software: PID: 7932, Name: OpenConsole.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,424 - INFO - Software: PID: 7964, Name: WmiPrvSE.exe, Username: None
2025-04-03 14:12:06,428 - INFO - Software: PID: 8076, Name: svchost.exe, Username: None
2025-04-03 14:12:06,432 - INFO - Software: PID: 8176, Name: mfevtps.exe, Username: None
2025-04-03 14:12:06,432 - INFO - Software: PID: 8296, Name: msedgewebview2.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,441 - INFO - Software: PID: 8348, Name: NisSrv.exe, Username: None
2025-04-03 14:12:06,445 - INFO - Software: PID: 8396, Name: AggregatorHost.exe, Username: None
2025-04-03 14:12:06,446 - INFO - Software: PID: 8604, Name: pet.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,450 - INFO - Software: PID: 8616, Name: svchost.exe, Username: None
2025-04-03 14:12:06,458 - INFO - Software: PID: 8664, Name: svchost.exe, Username: None
2025-04-03 14:12:06,462 - INFO - Software: PID: 8748, Name: gamingservicesnet.exe, Username: None
2025-04-03 14:12:06,465 - INFO - Software: PID: 8752, Name: gamingservices.exe, Username: None
2025-04-03 14:12:06,466 - INFO - Software: PID: 8848, Name: svchost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,466 - INFO - Software: PID: 8892, Name: py.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,468 - INFO - Software: PID: 8936, Name: Code.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,469 - INFO - Software: PID: 8956, Name: dllhost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,470 - INFO - Software: PID: 9040, Name: taskhostw.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,473 - INFO - Software: PID: 9164, Name: sihost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,473 - INFO - Software: PID: 9264, Name: Zalo.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,477 - INFO - Software: PID: 9280, Name: conhost.exe, Username: None
2025-04-03 14:12:06,477 - INFO - Software: PID: 9332, Name: ShellHost.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,477 - INFO - Software: PID: 9340, Name: explorer.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,478 - INFO - Software: PID: 9468, Name: AsusScreenXpertUserUI.exe, Username: LAPTOP-2HIEQ3KN\ASUS
2025-04-03 14:12:06,481 - INFO - Software: PID: 9576, Name: svchost.exe, Username: None
2025-04-03 14:12:06,482 - INFO - Software: PID: 9612, Name: Zalo.exe, Username: LAPTOP-2HIEQ3KN\ASUS
